country,year,fwd_log_avg_tr,fwd_log_real_div_growth,dp_log_lag1,fwd_log_avg_inf
Australia,1880,0.1150969007242864,0.05823086154188087,-2.882177035633352,0.0015037996767518404
Australia,1890,0.07172464543862199,-0.008438392970906672,-3.1015112343736693,-0.016164147095939392
Australia,1900,0.09705137134290291,0.030234445764730333,-2.9627599182893376,0.013133587898415617
Australia,1910,0.01720675441906173,-0.0033091125220295007,-3.3601706516929215,0.05877867879790499
Australia,1920,0.1303930940277301,0.059388688164244724,-2.8130558403331434,-0.005264373348542219
Australia,1930,0.08728945487504947,0.0482164924895605,-3.0716294776083024,-0.005556985115481114
Australia,1940,0.03553676001245466,-0.019893152318751908,-3.26708207468689,0.04655391066507405
Australia,1950,0.06293854782002198,-0.004001899719829049,-3.1636446756784444,0.061317285852049944
Australia,1960,0.08516626145574344,0.024630276793805986,-3.367109476384119,0.02424524618656761
Australia,1970,-0.02920603692474687,-0.007665013215461914,-3.6077329551851083,0.09318397091936381
Australia,1980,0.08514512919046639,0.01441887672109643,-2.915843765705092,0.08060595730836395
Belgium,1880,0.05434448338578327,0.028714824754540548,-3.1954377282754,-0.01784827807062584
Belgium,1890,0.06852661709953713,0.012914700799737578,-3.4024344503195305,-0.009646026579545395
Belgium,1900,0.028723562827575343,-0.013745692106738218,-3.3301590111206956,0.013036181714506625
Belgium,1910,-0.08134101969672096,-0.12312395668593173,-3.248761222450017,0.14381012553663536
Belgium,1920,0.06366409480331112,-0.006642477111742074,-2.789178445475873,0.08363129614715104
Belgium,1930,-0.05883389935468839,-0.016444024606534127,-3.4080142842043974,-0.012783337158356828
Belgium,1940,-0.006013441732081876,-0.04448651582402263,-2.961694266173325,0.12794898020138784
Belgium,1950,0.0905039263195738,0.034484969201380125,-3.63120418240657,0.01788231514583014
Belgium,1960,0.005348480323739182,-0.00734492903174222,-3.102719728516246,0.026189936447230742
Belgium,1970,-0.007813139234284287,-0.04842873180298497,-3.13286216937696,0.068439004604804
Belgium,1980,0.1473939594018261,0.008711175388589242,-2.645990085432106,0.04749608305926828
Denmark,1890,0.053514288569194234,0.04604818092301965,-3.2296496955109264,-0.0012121106499751832
Denmark,1900,0.0466350691508173,-0.02034333738285379,-2.8013239597839066,0.010414015305674528
Denmark,1910,0.047543566476193996,0.01437758767230346,-2.857586918664051,0.09273646606506306
Denmark,1920,0.039257164991575076,-0.05703269486936881,-2.4011984969944375,-0.029266955132893225
Denmark,1930,0.04770632960320218,-0.03598750419045802,-2.7555215481746513,0.007696088571128879
Denmark,1940,0.012126895569226168,-0.004773051561844502,-2.8732640234986837,0.050383350078208954
Denmark,1950,0.07873295790625885,0.003657103542945453,-3.0411648551836805,0.036943040518503216
Denmark,1960,0.020171695013121667,-0.033239446393701154,-3.0993712865493293,0.0518342633052004
Denmark,1970,0.02267516635495668,-0.004375491919627112,-2.8671356754676545,0.08854924645036615
Denmark,1980,0.13185359540833486,-0.06128537977704177,-2.7525456806997584,0.06635486318942042
Finland,1930,0.11112572321708099,-0.030556001463068007,-2.6960604537187143,-0.011249472333043641
Finland,1940,-0.07037488995958838,-0.05135951985702558,-2.912075002993527,0.20651782253864504
Finland,1950,0.11340804242993074,0.04488052967616523,-2.5463205587972735,0.057814111157756955
Finland,1960,0.03328404486867327,0.010110242155668248,-3.1562828772728286,0.04895602595923171
Finland,1970,0.030615903050460892,-0.04487866243486099,-2.8670958684299754,0.09814364197404998
Finland,1980,0.14494647672794583,0.07411938192921763,-2.5313321832844604,0.07026352212056555
France,1880,0.0455110320099857,0.0019188441000768997,-3.188252325634429,-0.0010810911977834267
France,1890,0.049701337280078146,0.004685826228600742,-3.153120148830311,-0.0021978914535975514
France,1900,0.029658428869741748,-0.010113140588999238,-3.411429181507178,0.0032789826513809914
France,1910,-0.07006647865562196,-0.1348468182652284,-3.270832791438681,0.10235469832037691
France,1920,0.052235332082093175,0.011467168617851131,-2.567498557410616,0.0820980554115934
France,1930,-0.042067698490060576,-0.06763414575623093,-3.5673226409221734,0.019885085735128035
France,1940,-0.2281169799931154,-0.2427749990846677,-2.9054008361513963,0.27325037281616193
France,1950,0.09591172243743785,-0.009329923407430508,-2.130718824416386,0.06276692510851856
France,1960,-0.06915448480596263,-0.008288389110918372,-4.0527910301630055,0.03815368313706059
France,1970,-0.06446118740425805,-0.07710936290079415,-3.415636139744915,0.08449996198127838
France,1980,0.10788051521701462,-0.020514864699943392,-2.5232662583299055,0.07047746734902496
Germany,1880,0.0842886202855633,0.015701289068791625,-2.79081228010989,8.326672684688674e-18
Germany,1890,0.055036254149871865,0.02301357382920202,-3.116364594116426,0.0024692612590371237
Germany,1900,0.04394924765634504,-0.003276396895666878,-3.1837133643607913,0.014364270222884307
Germany,1910,-0.0746359851709362,-0.22107331363218494,-3.2603631769524206,0.14819245921351407
Germany,1930,0.03848757108671367,-0.04095728032952231,-3.1883469510146263,-0.02006706956486935
Germany,1940,-0.13930370402139905,-0.38659938543193456,-3.103813094260108,0.050470525177371814
Germany,1950,0.284933095174957,0.4022042055857032,-2.2018004078747744,0.010709344697623482
Germany,1960,0.0346967740189739,0.021213193283399434,-4.27436672911487,0.02362756551237983
Germany,1970,-0.025620771924075463,-0.045917521574178013,-3.5627615274955637,0.04761190979810645
Germany,1980,0.11130494300346301,0.03020907889172264,-3.1454467960658157,0.028428686293644822
Italy,1880,0.056289142737689625,0.012503519849417622,-3.0654715853460663,-0.005931675793440422
Italy,1890,0.0326395277352138,-0.0016219347427517405,-3.1089349163753726,-0.002474559381188589
